"R0000100","R0536402","S7514300","S8646900","S8647300","S8647500","S8647800"
519,1980,2,-4,-4,-4,-4
520,1981,2,-4,-4,-4,-4
521,1983,0,-4,-4,-4,-4
522,1983,0,-4,-4,-4,-4
523,1980,0,2,1,1,2
524,1981,1,-4,-4,-4,-4
525,1982,2,-4,-4,-4,-4
526,1983,1,-4,-4,-4,-4
527,1981,4,-4,-4,-4,-4
528,1982,2,-4,-4,-4,-4
529,1982,4,-4,-4,-4,-4
530,1982,4,-4,-4,-4,-4
531,1980,-5,-5,-5,-5,-5
532,1983,-5,-5,-5,-5,-5
533,1983,4,-4,-4,-4,-4
534,1981,2,-4,-4,-4,-4
535,1980,4,-4,-4,-4,-4
536,1982,3,3,1,-2,1
537,1982,0,-4,-4,-4,-4
538,1983,1,3,2,2,2
539,1980,-5,-5,-5,-5,-5
540,1982,2,-4,-4,-4,-4
541,1982,2,-4,-4,-4,-4
542,1984,2,-4,-4,-4,-4
543,1983,2,-4,-4,-4,-4
544,1981,4,-4,-4,-4,-4
545,1981,2,4,2,3,1
546,1980,4,3,2,4,2
547,1984,2,-4,-4,-4,-4
548,1984,2,4,2,4,3
549,1981,1,3,3,4,1
550,1984,2,3,2,2,1
551,1981,4,-4,-4,-4,-4
552,1981,-5,-5,-5,-5,-5
553,1983,-5,-5,-5,-5,-5
554,1981,-5,-5,-5,-5,-5
555,1984,4,-4,-4,-4,-4
556,1982,4,4,3,4,1
557,1981,4,-4,-4,-4,-4
558,1982,4,-4,-4,-4,-4
559,1984,2,-4,-4,-4,-4
560,1981,2,-4,-4,-4,-4
561,1984,2,2,2,1,1
562,1983,2,-4,-4,-4,-4
563,1982,0,-4,-4,-4,-4
564,1983,2,3,2,2,1
565,1982,2,3,2,2,1
566,1982,2,1,1,3,1
567,1980,-5,-5,-5,-5,-5
568,1981,-5,-5,-5,-5,-5
569,1981,-5,-5,-5,-5,-5
570,1982,-5,-5,-5,-5,-5
571,1980,2,-4,-4,-4,-4
572,1983,3,4,1,3,1
573,1981,0,-4,-4,-4,-4
574,1983,0,-4,-4,-4,-4
575,1981,2,-4,-4,-4,-4
576,1981,2,-4,-4,-4,-4
577,1984,3,-4,-4,-4,-4
578,1982,2,-4,-4,-4,-4
579,1980,2,-4,-4,-4,-4
580,1983,2,-4,-4,-4,-4
581,1982,2,3,1,3,2
582,1983,0,2,2,3,4
583,1981,-5,-5,-5,-5,-5
584,1981,4,-4,-4,-4,-4
585,1983,-3,-4,-4,-4,-4
586,1980,2,3,1,1,1
587,1983,2,2,1,2,1
588,1983,-5,-5,-5,-5,-5
589,1983,1,-4,-4,-4,-4
590,1983,2,-4,-4,-4,-4
591,1982,4,-4,-4,-4,-4
592,1984,2,2,2,4,2
593,1981,-5,-5,-5,-5,-5
594,1980,0,-4,-4,-4,-4
595,1981,2,-4,-4,-4,-4
596,1981,-5,-5,-5,-5,-5
597,1982,-5,-5,-5,-5,-5
598,1981,4,-4,-4,-4,-4
599,1981,2,2,1,3,1
600,1984,2,-4,-4,-4,-4
601,1980,1,-4,-4,-4,-4
602,1982,0,-4,-4,-4,-4
603,1984,2,-4,-4,-4,-4
604,1981,2,-4,-4,-4,-4
605,1983,-5,-5,-5,-5,-5
606,1980,2,-4,-4,-4,-4
607,1982,0,4,-2,1,1
608,1983,2,-4,-4,-4,-4
609,1982,4,3,2,3,2
610,1981,2,4,1,4,1
611,1984,2,4,1,4,1
612,1984,4,2,2,2,2
613,1983,2,-4,-4,-4,-4
614,1980,-5,-5,-5,-5,-5
615,1982,-5,-5,-5,-5,-5
616,1984,4,-4,-4,-4,-4
617,1983,2,-4,-4,-4,-4
618,1981,2,-4,-4,-4,-4
619,1983,2,-4,-4,-4,-4
620,1980,-5,-5,-5,-5,-5
621,1980,0,-4,-4,-4,-4
622,1981,-5,-5,-5,-5,-5
623,1982,-5,-5,-5,-5,-5
624,1980,2,-4,-4,-4,-4
625,1982,0,-4,-4,-4,-4
626,1982,-5,-5,-5,-5,-5
627,1982,1,3,3,4,1
628,1982,-5,-5,-5,-5,-5
629,1984,2,-4,-4,-4,-4
630,1981,2,-4,-4,-4,-4
631,1981,2,-4,-4,-4,-4
632,1983,4,-4,-4,-4,-4
633,1983,4,-4,-4,-4,-4
634,1980,-5,-5,-5,-5,-5
635,1981,2,-4,-4,-4,-4
636,1982,2,-4,-4,-4,-4
637,1981,-5,-5,-5,-5,-5
638,1984,4,3,1,2,1
639,1981,2,-4,-4,-4,-4
640,1982,2,-4,-4,-4,-4
641,1980,-5,-5,-5,-5,-5
642,1980,4,-4,-4,-4,-4
643,1982,2,3,1,1,2
644,1981,-5,-5,-5,-5,-5
645,1983,0,-4,-4,-4,-4
646,1980,-5,-5,-5,-5,-5
647,1984,3,-4,-4,-4,-4
648,1981,2,-4,-4,-4,-4
649,1982,4,3,3,3,1
650,1984,2,-4,-4,-4,-4
651,1982,2,2,2,1,1
652,1983,2,-4,-4,-4,-4
653,1983,2,2,3,2,1
654,1980,4,2,2,2,1
655,1981,2,-4,-4,-4,-4
656,1982,2,-4,-4,-4,-4
657,1981,-5,-5,-5,-5,-5
658,1984,2,-4,-4,-4,-4
659,1980,2,-4,-4,-4,-4
660,1982,0,3,-2,4,2
661,1982,2,3,1,1,1
662,1980,1,-4,-4,-4,-4
663,1982,2,2,1,3,2
664,1983,2,-4,-4,-4,-4
665,1981,-5,-5,-5,-5,-5
666,1981,4,-4,-4,-4,-4
667,1982,3,-4,-4,-4,-4
668,1984,2,-4,-4,-4,-4
669,1983,2,-4,-4,-4,-4
670,1980,-5,-5,-5,-5,-5
671,1982,1,-4,-4,-4,-4
672,1980,4,1,1,1,1
673,1982,4,3,1,4,1
674,1983,2,-4,-4,-4,-4
675,1981,1,3,1,1,1
676,1984,2,2,2,3,1
677,1983,2,-4,-4,-4,-4
678,1984,0,-4,-4,-4,-4
679,1982,1,-4,-4,-4,-4
680,1980,3,-4,-4,-4,-4
681,1984,2,-4,-4,-4,-4
682,1980,4,2,1,1,1
683,1983,-5,-5,-5,-5,-5
684,1984,2,1,1,1,1
685,1983,2,-4,-4,-4,-4
686,1982,1,-4,-4,-4,-4
687,1983,1,-4,-4,-4,-4
688,1982,2,1,1,1,1
689,1983,2,2,1,1,1
690,1980,0,-4,-4,-4,-4
691,1982,0,-4,-4,-4,-4
692,1983,0,2,2,1,1
693,1984,-5,-5,-5,-5,-5
694,1980,2,-4,-4,-4,-4
695,1980,2,-4,-4,-4,-4
696,1982,0,-4,-4,-4,-4
697,1984,-5,-5,-5,-5,-5
698,1980,3,-4,-4,-4,-4
699,1984,3,-4,-4,-4,-4
700,1980,1,-4,-4,-4,-4
701,1982,2,-4,-4,-4,-4
702,1982,2,-4,-4,-4,-4
703,1980,2,-4,-4,-4,-4
704,1981,2,-4,-4,-4,-4
705,1980,2,-4,-4,-4,-4
706,1982,2,4,1,3,1
707,1982,3,-4,-4,-4,-4
708,1980,-5,-5,-5,-5,-5
709,1981,2,-2,-2,-2,1
710,1982,2,-4,-4,-4,-4
711,1984,-5,-5,-5,-5,-5
712,1982,-5,-5,-5,-5,-5
713,1983,2,3,1,1,1
714,1984,2,-4,-4,-4,-4
715,1984,2,-4,-4,-4,-4
716,1982,-5,-5,-5,-5,-5
717,1980,2,-4,-4,-4,-4
718,1982,2,1,1,4,1
719,1981,4,-4,-4,-4,-4
720,1980,2,-4,-4,-4,-4
721,1981,4,-4,-4,-4,-4
722,1983,2,-4,-4,-4,-4
723,1983,2,-4,-4,-4,-4
724,1982,4,-4,-4,-4,-4
725,1980,7,-4,-4,-4,-4
726,1982,4,3,1,3,2
727,1984,4,-4,-4,-4,-4
728,1983,2,1,2,3,1
729,1980,2,4,2,1,1
730,1983,2,-4,-4,-4,-4
731,1981,4,-4,-4,-4,-4
732,1984,-5,-5,-5,-5,-5
733,1981,-5,-5,-5,-5,-5
734,1983,4,-4,-4,-4,-4
735,1980,-5,-5,-5,-5,-5
736,1984,-5,-5,-5,-5,-5
737,1982,2,-4,-4,-4,-4
738,1981,4,-4,-4,-4,-4
739,1982,4,-4,-4,-4,-4
740,1984,2,2,3,2,2
741,1982,4,-4,-4,-4,-4
742,1982,4,-4,-4,-4,-4
743,1982,4,-4,-4,-4,-4
744,1982,-5,-5,-5,-5,-5
745,1980,4,-4,-4,-4,-4
746,1982,2,3,3,4,2
747,1981,4,-4,-4,-4,-4
